"filename", "language", "JavaScript", "HTML", "PHP", "Markdown", "JSON", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 6, 36
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 44, 11, 124
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 86, 0, 10, 14, 110
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 67
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_float.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 2, 12
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 115, 0, 14, 19, 148
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 7, 5, 46
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_grid-framework.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 50, 0, 8, 10, 68
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 8, 53
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_hover.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 10, 5, 38
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 17, 8, 37
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_nav-divider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 2, 11
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 3, 23
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 21, 0, 9, 4, 34
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_size.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_table-row.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 5, 31
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 3, 15
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_text-hide.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_visibility.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 3, 8
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_align.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_background.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 5, 20
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_borders.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 43, 0, 7, 10, 60
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_display.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 7, 7, 39
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_embed.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 1, 8, 53
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_flex.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 39, 0, 4, 9, 52
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_float.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 8, 38
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_screenreaders.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 3, 12
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 7
